"PVWatts: Hourly PV Performance Data"
"Requested Location:","Swan Island, Portland, OR 97217"
"Location:","Lat, Lon: 45.57, -122.7"
"Lat (deg N):","45.57"
"Long (deg W):","122.7"
"Elev (m):","46.150001525879"
"DC System Size (kW):","221.36"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.085"
"Capacity Factor (%)","12.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-3","0","0","-3","0","0"
"1","1","1","0","0","-3","0","0","-3","0","0"
"1","1","2","0","0","-3","0","0","-3","0","0"
"1","1","3","0","0","-3","0","0","-3","0","0"
"1","1","4","0","0","-4","0","0","-4","0","0"
"1","1","5","0","0","-4","0","0","-4","0","0"
"1","1","6","0","0","-4","0","0","-4","0","0"
"1","1","7","0","0","-3","0","0","-3","0","0"
"1","1","8","426","25","-2","0","165.893","1.875","30127.945","28284.201"
"1","1","9","18","75","-1","1","89.706","0.297","18919.17","17319.338"
"1","1","10","798","54","0","1","540.609","15.766","104325.984","100379.773"
"1","1","11","847","58","1","1","633.466","21.82","120210.859","115704.375"
"1","1","12","859","59","2","1","649.558","23.687","122392.641","117806.172"
"1","1","13","827","57","2","1","595.167","22.131","112333.75","108109.953"
"1","1","14","310","90","1","0","282.17","15.783","54487.379","52046.855"
"1","1","15","210","51","0","0","153.326","6.996","29777.848","27942.016"
"1","1","16","0","0","-1","0","0","-1","0","0"
"1","1","17","0","0","-1","0","0","-1","0","0"
"1","1","18","0","0","-2","0","0","-2","0","0"
"1","1","19","0","0","-2","0","0","-2","0","0"
"1","1","20","0","0","-2","0","0","-2","0","0"
"1","1","21","0","0","-2","0","0","-2","0","0"
"1","1","22","0","0","-2","0","0","-2","0","0"
"1","1","23","0","0","-2","0","0","-2","0","0"
"1","2","0","0","0","-2","0","0","-2","0","0"
"1","2","1","0","0","-2","0","0","-2","0","0"
"1","2","2","0","0","-3","0","0","-3","0","0"
"1","2","3","0","0","-3","1","0","-3","0","0"
"1","2","4","0","0","-3","1","0","-3","0","0"
"1","2","5","0","0","-3","1","0","-3","0","0"
"1","2","6","0","0","-3","1","0","-3","0","0"
"1","2","7","0","0","-3","1","0","-3","0","0"
"1","2","8","427","25","-2","1","165.966","0.935","30246.068","28399.652"
"1","2","9","697","44","0","1","384.688","11.184","73365.445","70399.594"
"1","2","10","806","53","0","1","544.271","17.38","104264.359","100320.25"
"1","2","11","855","57","0","1","633.199","20.889","120668.148","116144.961"
"1","2","12","864","58","1","1","652.643","22.839","123474.344","118847.945"
"1","2","13","829","58","1","1","598.992","21.319","113513.977","109248.438"
"1","2","14","757","51","0","1","471.974","16.22","89837.945","86368.867"
"1","2","15","599","37","0","1","284.642","9.608","52870.391","50472.309"
"1","2","16","0","0","-1","1","0","-1","0","0"
"1","2","17","0","0","-2","1","0","-2","0","0"
"1","2","18","0","0","-2","1","0","-2","0","0"
"1","2","19","0","0","-2","1","0","-2","0","0"
"1","2","20","0","0","-2","1","0","-2","0","0"
"1","2","21","0","0","-2","0","0","-2","0","0"
"1","2","22","0","0","-3","0","0","-3","0","0"
"1","2","23","0","0","-3","0","0","-3","0","0"
"1","3","0","0","0","-3","0","0","-3","0","0"
"1","3","1","0","0","-3","0","0","-3","0","0"
"1","3","2","0","0","-4","0","0","-4","0","0"
"1","3","3","0","0","-4","0","0","-4","0","0"
"1","3","4","0","0","-4","1","0","-4","0","0"
"1","3","5","0","0","-4","1","0","-4","0","0"
"1","3","6","0","0","-4","0","0","-4","0","0"
"1","3","7","0","0","-4","0","0","-4","0","0"
"1","3","8","413","26","-3","1","162.367","-0.189","29780.305","27944.418"
"1","3","9","679","46","-2","1","378.587","9.02","72936.875","69983.555"
"1","3","10","780","55","0","1","531.914","16.965","102124.109","98252.492"
"1","3","11","813","60","0","1","615.2","20.283","117619.664","113207.234"
"1","3","12","0","114","1","1","113.273","5.75","23492.822","21795.801"
"1","3","13","73","138","1","0","196.511","7.765","40181.828","38102.848"
"1","3","14","230","99","0","0","243.756","9.657","48578.332","46290.969"
"1","3","15","1","52","0","0","53.488","2.301","11249.506","9805.426"
"1","3","16","0","0","0","0","0","0","0","0"
"1","3","17","0","0","0","0","0","0","0","0"
"1","3","18","0","0","1","0","0","1","0","0"
"1","3","19","0","0","1","0","0","1","0","0"
"1","3","20","0","0","2","0","0","2","0","0"
"1","3","21","0","0","2","0","0","2","0","0"
"1","3","22","0","0","3","0","0","3","0","0"
"1","3","23","0","0","3","0","0","3","0","0"
"1","4","0","0","0","3","0","0","3","0","0"
"1","4","1","0","0","2","0","0","2","0","0"
"1","4","2","0","0","2","0","0","2","0","0"
"1","4","3","0","0","2","0","0","2","0","0"
"1","4","4","0","0","1","0","0","1","0","0"
"1","4","5","0","0","1","0","0","1","0","0"
"1","4","6","0","0","1","0","0","1","0","0"
"1","4","7","0","0","1","0","0","1","0","0"
"1","4","8","0","4","2","0","3.78","-2.419","811.63","0"
"1","4","9","38","78","3","0","102.577","3.4","21233.48","19584.873"
"1","4","10","0","86","4","0","84.546","5.459","17556.758","15985.257"
"1","4","11","20","136","4","0","151.765","8.403","31065.143","29200.129"
