"PVWatts: Hourly PV Performance Data"
"Requested Location:","Swan Island, Portland, OR 97217"
"Location:","Lat, Lon: 45.57, -122.7"
"Lat (deg N):","45.57"
"Long (deg W):","122.7"
"Elev (m):","46.150001525879"
"DC System Size (kW):","221.36"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.085"
"Capacity Factor (%)","12.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","4","12","776","69","5","0","614.743","27.719","113774.797","109500"
"1","4","13","315","126","5","0","350.466","22.112","66677.938","63904.453"
"1","4","14","132","105","4","0","192.145","13.125","37954.504","35928.98"
"1","4","15","133","56","3","0","124.211","7.641","24408.387","22691.523"
"1","4","16","0","0","1","0","0","1","0","0"
"1","4","17","0","0","1","0","0","1","0","0"
"1","4","18","0","0","0","0","0","0","0","0"
"1","4","19","0","0","0","0","0","0","0","0"
"1","4","20","0","0","0","0","0","0","0","0"
"1","4","21","0","0","0","0","0","0","0","0"
"1","4","22","0","0","0","0","0","0","0","0"
"1","4","23","0","0","0","0","0","0","0","0"
"1","5","0","0","0","0","0","0","0","0","0"
"1","5","1","0","0","0","0","0","0","0","0"
"1","5","2","0","0","0","0","0","0","0","0"
"1","5","3","0","0","0","0","0","0","0","0"
"1","5","4","0","0","0","0","0","0","0","0"
"1","5","5","0","0","0","0","0","0","0","0"
"1","5","6","0","0","0","0","0","0","0","0"
"1","5","7","0","0","0","0","0","0","0","0"
"1","5","8","0","13","0","0","12.308","-4.074","2660.823","1380.406"
"1","5","9","0","32","0","0","30.334","-3.121","6531.886","5179.109"
"1","5","10","0","59","1","0","56.018","-0.578","11934.964","10477.332"
"1","5","11","0","98","1","0","95.982","2.202","20211.166","18584.207"
"1","5","12","0","113","2","0","112.015","4.696","23337.406","21643.742"
"1","5","13","0","77","2","0","74.003","3.153","15520.123","13990.436"
"1","5","14","0","60","2","0","57.378","1.442","12121.129","10659.805"
"1","5","15","0","30","1","0","28.445","-1.414","6081.694","4737.452"
"1","5","16","0","0","1","0","0","1","0","0"
"1","5","17","0","0","1","0","0","1","0","0"
"1","5","18","0","0","1","0","0","1","0","0"
"1","5","19","0","0","1","0","0","1","0","0"
"1","5","20","0","0","1","0","0","1","0","0"
"1","5","21","0","0","1","0","0","1","0","0"
"1","5","22","0","0","1","0","0","1","0","0"
"1","5","23","0","0","1","0","0","1","0","0"
"1","6","0","0","0","2","0","0","2","0","0"
"1","6","1","0","0","2","0","0","2","0","0"
"1","6","2","0","0","2","0","0","2","0","0"
"1","6","3","0","0","1","0","0","1","0","0"
"1","6","4","0","0","1","0","0","1","0","0"
"1","6","5","0","0","1","0","0","1","0","0"
"1","6","6","0","0","1","0","0","1","0","0"
"1","6","7","0","0","1","0","0","1","0","0"
"1","6","8","0","2","1","0","1.889","-3.525","407.519","0"
"1","6","9","0","12","2","0","11.355","-2.114","2434.896","1158.631"
"1","6","10","711","65","3","0","504.67","20.801","95339.789","91693.328"
"1","6","11","760","72","3","0","597.368","27.766","110385.656","106230.305"
"1","6","12","0","56","3","0","53.157","9.385","10852.025","9415.771"
"1","6","13","0","108","4","0","107.524","5.948","22281.588","20610.619"
"1","6","14","0","63","3","0","60.511","3.431","12675.403","11203.053"
"1","6","15","0","28","3","0","26.542","0.591","5627.186","4291.528"
"1","6","16","0","3","2","0","2.835","-2.106","607.814","0"
"1","6","17","0","0","2","0","0","2","0","0"
"1","6","18","0","0","3","0","0","3","0","0"
"1","6","19","0","0","2","0","0","2","0","0"
"1","6","20","0","0","2","0","0","2","0","0"
"1","6","21","0","0","3","0","0","3","0","0"
"1","6","22","0","0","3","1","0","3","0","0"
"1","6","23","0","0","3","1","0","3","0","0"
"1","7","0","0","0","3","1","0","3","0","0"
"1","7","1","0","0","3","1","0","3","0","0"
"1","7","2","0","0","3","1","0","3","0","0"
"1","7","3","0","0","3","1","0","3","0","0"
"1","7","4","0","0","4","1","0","4","0","0"
"1","7","5","0","0","4","1","0","4","0","0"
"1","7","6","0","0","5","1","0","5","0","0"
"1","7","7","0","0","5","1","0","5","0","0"
"1","7","8","0","20","6","1","18.962","3.9","3964.055","2659.536"
"1","7","9","0","12","7","1","11.355","4.771","2365.02","1090.038"
"1","7","10","0","86","7","1","84.396","7.244","17390.979","15822.902"
"1","7","11","0","41","8","1","38.888","7.124","8017.576","6636.416"
"1","7","12","0","116","8","1","115.16","9.475","23500.74","21803.549"
"1","7","13","0","53","8","1","50.3","7.698","10344.716","8918.412"
"1","7","14","0","6","8","0","5.677","4.587","1183.26","0"
"1","7","15","0","43","7","0","41.727","4.59","8697.487","7303.224"
"1","7","16","0","5","6","0","4.727","2.331","994.853","0"
"1","7","17","0","0","6","0","0","6","0","0"
"1","7","18","0","0","5","0","0","5","0","0"
"1","7","19","0","0","5","0","0","5","0","0"
"1","7","20","0","0","4","0","0","4","0","0"
"1","7","21","0","0","4","0","0","4","0","0"
"1","7","22","0","0","4","0","0","4","0","0"
"1","7","23","0","0","4","0","0","4","0","0"
"1","8","0","0","0","4","0","0","4","0","0"
"1","8","1","0","0","3","0","0","3","0","0"
"1","8","2","0","0","3","0","0","3","0","0"
"1","8","3","0","0","4","0","0","4","0","0"
"1","8","4","0","0","5","0","0","5","0","0"
"1","8","5","0","0","5","1","0","5","0","0"
"1","8","6","0","0","6","1","0","6","0","0"
"1","8","7","0","0","7","1","0","7","0","0"
"1","8","8","0","7","7","1","6.619","4.5","1380.26","123.273"
"1","8","9","0","45","7","1","42.705","5.778","8856.043","7458.714"
"1","8","10","0","36","8","1","34.132","6.716","7049.494","5686.867"
"1","8","11","0","111","8","1","109.998","9.271","22467.439","20792.488"
"1","8","12","0","61","8","1","57.918","7.93","11899.315","10442.391"
"1","8","13","0","57","8","1","54.108","7.493","11137.784","9695.905"
"1","8","14","49","107","8","1","142.883","10.502","28800.713","26986.861"
"1","8","15","0","54","8","1","54.463","8.005","11185.934","9743.106"
"1","8","16","0","15","8","1","14.221","6.103","2945.05","1659.399"
"1","8","17","0","0","8","1","0","8","0","0"
"1","8","18","0","0","8","1","0","8","0","0"
"1","8","19","0","0","8","1","0","8","0","0"
"1","8","20","0","0","8","1","0","8","0","0"
"1","8","21","0","0","8","1","0","8","0","0"
"1","8","22","0","0","8","1","0","8","0","0"
"1","8","23","0","0","8","2","0","8","0","0"
"1","9","0","0","0","7","2","0","7","0","0"
"1","9","1","0","0","7","2","0","7","0","0"
"1","9","2","0","0","7","2","0","7","0","0"
"1","9","3","0","0","7","1","0","7","0","0"
"1","9","4","0","0","6","1","0","6","0","0"
"1","9","5","0","0","6","1","0","6","0","0"
"1","9","6","0","0","5","0","0","5","0","0"
"1","9","7","0","0","4","0","0","4","0","0"
"1","9","8","0","5","4","1","4.726","1.365","998.751","0"
"1","9","9","0","37","3","1","35.089","1.427","7412.956","6043.388"
"1","9","10","0","46","3","1","43.64","1.909","9200.69","7796.684"
"1","9","11","0","56","3","1","53.157","2.293","11188.942","9746.056"
"1","9","12","0","82","3","0","78.632","3.199","16487.59","14938.118"
"1","9","13","0","29","3","0","27.487","0.92","5819.54","4480.252"
"1","9","14","0","93","3","0","93.449","3.504","19568.977","17955.533"
"1","9","15","0","33","2","0","31.296","0.374","6641.172","5286.32"
"1","9","16","123","15","2","0","54.29","0.437","9977.565","8558.44"
"1","9","17","0","0","1","0","0","1","0","0"
"1","9","18","0","0","1","0","0","1","0","0"
"1","9","19","0","0","1","0","0","1","0","0"
"1","9","20","0","0","1","0","0","1","0","0"
"1","9","21","0","0","1","0","0","1","0","0"
"1","9","22","0","0","1","0","0","1","0","0"
"1","9","23","0","0","1","0","0","1","0","0"
"1","10","0","0","0","1","0","0","1","0","0"
"1","10","1","0","0","1","0","0","1","0","0"
"1","10","2","0","0","1","0","0","1","0","0"
"1","10","3","0","0","0","0","0","0","0","0"
"1","10","4","0","0","0","0","0","0","0","0"
"1","10","5","0","0","0","0","0","0","0","0"
"1","10","6","0","0","0","0","0","0","0","0"
"1","10","7","0","0","0","0","0","0","0","0"
"1","10","8","283","34","0","0","135.552","2.374","25294.818","23558.621"
"1","10","9","593","63","1","0","362.423","14.637","68513.656","65688.047"
"1","10","10","715","80","1","0","530.451","22.617","99536.602","95751.703"
"1","10","11","4","130","1","0","133.713","9.789","27239.707","25460.666"
"1","10","12","0","76","2","0","72.422","3.532","15163.864","13641.425"
"1","10","13","72","146","2","0","205.276","8.624","41847.867","39728.402"
"1","10","14","0","54","2","0","51.259","3.599","10729.651","9295.8"
"1","10","15","0","9","1","0","8.513","-2.446","1827.937","562.788"
"1","10","16","0","19","0","0","18.579","-3.701","4010.298","2704.919"
"1","10","17","0","0","0","0","0","0","0","0"
"1","10","18","0","0","0","0","0","0","0","0"
"1","10","19","0","0","0","0","0","0","0","0"
"1","10","20","0","0","0","0","0","0","0","0"
"1","10","21","0","0","0","0","0","0","0","0"
"1","10","22","0","0","0","0","0","0","0","0"
"1","10","23","0","0","0","0","0","0","0","0"
"1","11","0","0","0","0","0","0","0","0","0"
"1","11","1","0","0","-1","0","0","-1","0","0"
"1","11","2","0","0","-1","0","0","-1","0","0"
"1","11","3","0","0","-1","0","0","-1","0","0"
"1","11","4","0","0","-1","0","0","-1","0","0"
"1","11","5","0","0","-1","0","0","-1","0","0"
"1","11","6","0","0","-2","0","0","-2","0","0"
"1","11","7","0","0","-2","0","0","-2","0","0"
"1","11","8","450","27","-1","0","174.944","3.314","31555.801","29679.598"
"1","11","9","706","48","0","0","395.253","15.278","74142.797","71154.133"
"1","11","10","810","59","0","0","559.379","22.916","104642.492","100685.5"
"1","11","11","852","65","1","0","655.381","28.194","120904.555","116372.719"
"1","11","12","858","67","1","0","677.63","29.552","124454.867","119792.125"
"1","11","13","833","64","1","0","624.063","27.979","114950.734","110634.086"
"1","11","14","764","57","0","0","498.775","22.567","92726.82","89165.188"
"1","11","15","612","44","0","0","311.202","15.075","57163.984","54652.316"
"1","11","16","229","15","-1","0","83.799","3.529","14724.421","13210.896"
"1","11","17","0","0","-1","0","0","-1","0","0"
"1","11","18","0","0","-1","0","0","-1","0","0"
"1","11","19","0","0","-1","0","0","-1","0","0"
"1","11","20","0","0","-1","0","0","-1","0","0"
"1","11","21","0","0","-1","0","0","-1","0","0"
"1","11","22","0","0","-1","0","0","-1","0","0"
"1","11","23","0","0","-1","0","0","-1","0","0"
"1","12","0","0","0","-1","0","0","-1","0","0"
"1","12","1","0","0","-2","0","0","-2","0","0"
"1","12","2","0","0","-2","0","0","-2","0","0"
"1","12","3","0","0","-2","0","0","-2","0","0"
"1","12","4","0","0","-2","0","0","-2","0","0"
"1","12","5","0","0","-2","0","0","-2","0","0"
"1","12","6","0","0","-2","0","0","-2","0","0"
"1","12","7","0","0","-1","0","0","-1","0","0"
"1","12","8","0","21","0","0","19.911","-3.735","4298.318","2987.574"
"1","12","9","0","52","0","0","49.849","-2.063","10686.869","9253.858"
"1","12","10","0","79","0","0","76.547","-0.156","16280.034","14734.819"
"1","12","11","0","98","1","0","95.581","2.55","20096.908","18472.357"
"1","12","12","0","94","1","0","91.05","2.696","19132.475","17528.182"
"1","12","13","0","79","1","0","75.801","1.854","15985.057","14445.88"
"1","12","14","0","77","0","0","75.139","0.533","15934.275","14396.136"
"1","12","15","586","46","-1","0","307.946","9.979","58062.844","55527.035"
"1","12","16","222","16","-2","0","83.637","2.456","14848.276","13332.242"
"1","12","17","0","0","-3","0","0","-3","0","0"
"1","12","18","0","0","-3","0","0","-3","0","0"
"1","12","19","0","0","-4","0","0","-4","0","0"
"1","12","20","0","0","-4","0","0","-4","0","0"
"1","12","21","0","0","-4","0","0","-4","0","0"
"1","12","22","0","0","-4","0","0","-4","0","0"
"1","12","23","0","0","-4","0","0","-4","0","0"
"1","13","0","0","0","-4","0","0","-4","0","0"
"1","13","1","0","0","-4","0","0","-4","0","0"
"1","13","2","0","0","-4","0","0","-4","0","0"
"1","13","3","0","0","-4","0","0","-4","0","0"
"1","13","4","0","0","-4","0","0","-4","0","0"
"1","13","5","0","0","-4","0","0","-4","0","0"
"1","13","6","0","0","-4","0","0","-4","0","0"
"1","13","7","0","0","-3","0","0","-3","0","0"
"1","13","8","0","9","-2","0","8.514","-6.326","1857.631","591.939"
"1","13","9","0","11","0","0","10.408","-4.147","2250.789","977.902"
"1","13","10","0","93","0","0","91.66","-0.233","19500.506","17888.5"
"1","13","11","20","143","0","0","158.785","4.802","33018.738","31108.953"
"1","13","12","147","168","1","0","293.851","12.21","58947.105","56387.426"
"1","13","13","52","146","1","0","191.968","9.592","39017.758","36966.813"
"1","13","14","92","117","0","0","185.896","7.274","37896.953","35872.801"
"1","13","15","110","68","0","0","125.237","4.614","25218.523","23483.994"
"1","13","16","0","15","-1","0","14.217","-2.931","3058.887","1771.136"
"1","13","17","0","0","-2","0","0","-2","0","0"
"1","13","18","0","0","-3","0","0","-3","0","0"
"1","13","19","0","0","-4","0","0","-4","0","0"
"1","13","20","0","0","-4","0","0","-4","0","0"
"1","13","21","0","0","-4","0","0","-4","0","0"
"1","13","22","0","0","-4","0","0","-4","0","0"
"1","13","23","0","0","-4","0","0","-4","0","0"
"1","14","0","0","0","-5","0","0","-5","0","0"
"1","14","1","0","0","-5","0","0","-5","0","0"
"1","14","2","0","0","-5","0","0","-5","0","0"
"1","14","3","0","0","-5","0","0","-5","0","0"
"1","14","4","0","0","-5","0","0","-5","0","0"
"1","14","5","0","0","-5","0","0","-5","0","0"
"1","14","6","0","0","-5","0","0","-5","0","0"
"1","14","7","0","0","-4","0","0","-4","0","0"
"1","14","8","0","3","-3","0","2.835","-7.618","621.788","0"
"1","14","9","0","21","-1","0","19.887","-4.823","4312.619","3001.609"
"1","14","10","71","130","0","0","183.417","4.93","37916.004","35891.398"
"1","14","11","0","104","0","0","101.88","3.526","21332.355","19681.646"
"1","14","12","24","152","0","0","171.289","5.537","35508.152","33540.461"
"1","14","13","0","110","1","0","108.81","4.657","22673.408","20994.037"
"1","14","14","0","97","0","0","97.132","2.259","20448.201","18816.236"
"1","14","15","0","42","0","0","39.927","-1.095","8525.188","7134.252"
"1","14","16","0","7","0","0","6.621","-3.793","1429.613","171.727"
"1","14","17","0","0","-1","0","0","-1","0","0"
"1","14","18","0","0","-1","0","0","-1","0","0"
"1","14","19","0","0","-1","0","0","-1","0","0"
"1","14","20","0","0","-1","0","0","-1","0","0"
"1","14","21","0","0","-1","0","0","-1","0","0"
"1","14","22","0","0","-1","0","0","-1","0","0"
"1","14","23","0","0","-1","0","0","-1","0","0"
"1","15","0","0","0","-1","0","0","-1","0","0"
"1","15","1","0","0","-1","0","0","-1","0","0"
"1","15","2","0","0","-1","0","0","-1","0","0"
"1","15","3","0","0","-1","0","0","-1","0","0"
"1","15","4","0","0","-1","0","0","-1","0","0"
"1","15","5","0","0","0","0","0","0","0","0"
"1","15","6","0","0","0","0","0","0","0","0"
"1","15","7","0","0","0","0","0","0","0","0"
"1","15","8","377","31","0","0","161.869","3.701","29616.971","27784.768"
"1","15","9","642","54","0","0","377.814","14.508","71390.148","68481.836"
"1","15","10","772","63","2","0","546.002","24.198","101673.984","97817.531"
"1","15","11","0","73","3","0","69.371","9.443","14158.54","12656.451"
"1","15","12","0","73","3","0","69.353","3.297","14535.824","13026.117"
"1","15","13","0","82","3","0","78.783","3.594","16491.34","14941.792"
"1","15","14","0","78","2","0","75.926","2.645","15957.895","14419.272"
"1","15","15","632","45","1","0","327.886","12.734","61161.543","58541.563"
"1","15","16","0","32","0","0","35.358","2.686","7430.143","6060.246"
"1","15","17","0","0","0","0","0","0","0","0"
"1","15","18","0","0","0","0","0","0","0","0"
"1","15","19","0","0","0","0","0","0","0","0"
"1","15","20","0","0","0","0","0","0","0","0"
"1","15","21","0","0","0","0","0","0","0","0"
"1","15","22","0","0","0","0","0","0","0","0"
"1","15","23","0","0","0","0","0","0","0","0"
"1","16","0","0","0","0","0","0","0","0","0"
"1","16","1","0","0","0","0","0","0","0","0"
"1","16","2","0","0","-1","0","0","-1","0","0"
"1","16","3","0","0","-2","0","0","-2","0","0"
"1","16","4","0","0","-2","0","0","-2","0","0"
"1","16","5","0","0","-3","0","0","-3","0","0"
"1","16","6","0","0","-3","0","0","-3","0","0"
"1","16","7","0","0","-2","0","0","-2","0","0"
"1","16","8","505","27","-1","0","192.935","4.164","34615.523","32668.705"
"1","16","9","0","12","1","0","11.356","0.243","2411.103","1135.275"
"1","16","10","0","30","2","0","28.434","-1.123","6071.925","4727.867"
"1","16","11","0","62","3","0","58.871","1.587","12428.836","10961.396"
"1","16","12","0","62","4","0","58.872","3.171","12345.657","10879.872"
"1","16","13","0","55","3","0","52.205","1.866","11008.54","9569.206"
"1","16","14","0","36","2","0","34.132","-0.199","7260.402","5893.75"
"1","16","15","0","20","0","0","18.939","-3.272","4080.696","2774.007"
"1","16","16","344","18","0","0","117.668","1.661","20592.014","18957.01"
"1","16","17","0","0","0","0","0","0","0","0"
"1","16","18","0","0","0","0","0","0","0","0"
"1","16","19","0","0","0","0","0","0","0","0"
"1","16","20","0","0","0","0","0","0","0","0"
"1","16","21","0","0","0","0","0","0","0","0"
"1","16","22","0","0","-1","0","0","-1","0","0"
"1","16","23","0","0","-1","0","0","-1","0","0"
"1","17","0","0","0","-1","0","0","-1","0","0"
"1","17","1","0","0","-1","0","0","-1","0","0"
"1","17","2","0","0","-1","0","0","-1","0","0"
"1","17","3","0","0","-1","0","0","-1","0","0"
"1","17","4","0","0","-1","0","0","-1","0","0"
"1","17","5","0","0","-1","0","0","-1","0","0"
"1","17","6","0","0","-2","0","0","-2","0","0"
"1","17","7","0","0","-1","0","0","-1","0","0"
"1","17","8","518","26","0","0","196.402","5.322","35030.652","33074.145"
"1","17","9","83","89","1","0","142.015","6.409","28838.467","27023.77"
"1","17","10","849","50","3","0","574.455","24.355","106823.195","102791.484"
"1","17","11","890","54","4","0","671.852","31.587","122038.727","117465.281"
"1","17","12","898","55","5","0","696.791","33.931","125405.039","120706.93"
"1","17","13","871","56","5","0","647.122","32.519","116794.758","112412.047"
"1","17","14","814","51","4","0","532.638","27.566","96997.375","93296.555"
"1","17","15","687","41","2","0","350.731","18.661","63727.176","61036.387"
"1","17","16","375","19","0","0","127.263","6.724","21764.434","20104.52"
"1","17","17","0","0","0","0","0","0","0","0"
"1","17","18","0","0","0","0","0","0","0","0"
"1","17","19","0","0","0","0","0","0","0","0"
"1","17","20","0","0","0","0","0","0","0","0"
"1","17","21","0","0","0","0","0","0","0","0"
"1","17","22","0","0","0","0","0","0","0","0"
"1","17","23","0","0","0","0","0","0","0","0"
"1","18","0","0","0","0","0","0","0","0","0"
"1","18","1","0","0","0","0","0","0","0","0"
"1","18","2","0","0","0","0","0","0","0","0"
"1","18","3","0","0","0","0","0","0","0","0"
"1","18","4","0","0","0","0","0","0","0","0"
"1","18","5","0","0","-1","0","0","-1","0","0"
"1","18","6","0","0","-1","0","0","-1","0","0"
"1","18","7","0","0","0","0","0","0","0","0"
"1","18","8","126","35","0","0","85.251","-0.568","16724.65","15170.311"
"1","18","9","87","90","2","0","145.021","6.05","29483.418","27654.225"
"1","18","10","446","105","4","0","403.117","19.159","77301.531","74219.227"
"1","18","11","899","56","5","0","682.395","31.727","123905.656","119263.281"
"1","18","12","908","57","6","0","708.539","35.281","126711.055","121964.102"
"1","18","13","874","60","6","0","656.542","33.812","117803.531","113384.453"
"1","18","14","820","54","4","0","542.06","27.943","98614.133","94859.891"
"1","18","15","699","43","2","0","360.139","19.068","65417.324","62679.332"
"1","18","16","391","20","1","0","132.971","8.013","22630.311","20951.863"
"1","18","17","0","0","1","1","0","1","0","0"
"1","18","18","0","0","1","1","0","1","0","0"
"1","18","19","0","0","1","1","0","1","0","0"
"1","18","20","0","0","2","1","0","2","0","0"
"1","18","21","0","0","2","0","0","2","0","0"
"1","18","22","0","0","2","0","0","2","0","0"
"1","18","23","0","0","1","0","0","1","0","0"
"1","19","0","0","0","0","0","0","0","0","0"
"1","19","1","0","0","0","0","0","0","0","0"
"1","19","2","0","0","0","0","0","0","0","0"
"1","19","3","0","0","0","0","0","0","0","0"
"1","19","4","0","0","0","0","0","0","0","0"
"1","19","5","0","0","0","0","0","0","0","0"
"1","19","6","0","0","-1","0","0","-1","0","0"
"1","19","7","0","0","0","0","0","0","0","0"
"1","19","8","0","16","0","0","15.152","-3.941","3273.882","1982.16"
"1","19","9","0","44","2","0","41.746","-0.513","8891.869","7493.846"
"1","19","10","0","103","4","0","102.051","5.251","21210.945","19562.816"
"1","19","11","12","144","5","0","153.605","9.689","31290.984","29420.826"
"1","19","12","28","160","6","0","191.48","12.932","38432.16","36395.234"
"1","19","13","71","159","6","0","219.596","14.497","43661.859","41497.828"
"1","19","14","115","127","5","0","211.235","13.486","41898.379","39777.684"
"1","19","15","696","44","2","0","362.094","16.321","66704.461","63930.23"
"1","19","16","373","22","1","0","130.607","7.914","22376.109","20703.117"
"1","19","17","0","0","0","0","0","0","0","0"
"1","19","18","0","0","0","0","0","0","0","0"
"1","19","19","0","0","0","0","0","0","0","0"
"1","19","20","0","0","0","0","0","0","0","0"
"1","19","21","0","0","-1","0","0","-1","0","0"
"1","19","22","0","0","-1","0","0","-1","0","0"
"1","19","23","0","0","-1","0","0","-1","0","0"
"1","20","0","0","0","-2","0","0","-2","0","0"
"1","20","1","0","0","-2","0","0","-2","0","0"
"1","20","2","0","0","-2","0","0","-2","0","0"
"1","20","3","0","0","-2","0","0","-2","0","0"
"1","20","4","0","0","-2","0","0","-2","0","0"
"1","20","5","0","0","-3","0","0","-3","0","0"
"1","20","6","0","0","-3","0","0","-3","0","0"
"1","20","7","0","0","-2","0","0","-2","0","0"
"1","20","8","531","29","-1","0","204.747","4.709","36761.293","34764.094"
"1","20","9","0","53","1","0","50.527","2.508","10625.721","9193.91"
"1","20","10","58","136","3","0","182.098","8.315","37152.918","35146.445"
