ONE 2,TWO 2,THREE 2,FOUR 2,ONE 1,TWO 1,THREE 1,FOUR 1
18.41696492,5.32357014,4.884905788,3.56783682,91.05211431,3.794847506,3.226263605,1.926774579
65.57695627,23.59859845,20.19912318,13.12909666,80.94228453,8.02405385,6.850940906,4.182720719
12.71930978,53.30282636,39.48682242,39.00977931,71.59999032,11.86504862,10.17707457,6.357886488
2.382467422,13.51858199,26.64875141,21.49491925,63.40312277,15.16295741,13.07054853,8.363371284
0.904301609,4.256423055,8.775009269,15.90086509,56.34847419,17.92541263,15.53493916,10.19117401
,,,,50.31207663,20.21015964,17.61695419,11.86080954
,,,,45.14336578,22.08476682,19.37236539,13.39950201
,,,,40.69964861,23.61213858,20.85363545,14.83457736
,,,,36.85693639,24.84616148,22.10610317,16.19079897
,,,,33.51146697,25.8312882,23.16752031,17.48972452
,,,,30.57784111,26.60351645,24.0687937,18.74984874
,,,,27.9862125,27.19172766,24.83505298,19.98700686
,,,,25.67949119,27.61898687,25.48670134,21.21482059
,,,,23.61089265,27.90367212,26.04033268,22.44510254
,,,,21.74190597,28.0604104,26.50949181,23.68819182
,,,,20.04065488,28.10083816,26.90528939,24.95321756
,,,,18.48059422,28.0342161,27.23689435,26.24829533
,,,,17.03948056,27.8679287,27.51192726,27.58066348
,,,,15.69856249,27.60789562,27.73677548,28.95676641
,,,,14.44194539,27.25891724,27.91684756,30.38228981
,,,,13.25609448,26.82497267,28.05678054,31.86215231
,,,,12.12944803,26.30948475,28.16061105,33.40045616
,,,,11.05211869,25.71556324,28.23191861,35.00039946
,,,,10.01566595,25.0462348,28.27394726,36.66415199
,,,,9.012926509,24.30466571,28.2897104,38.39269738
,,,,8.037891787,23.49438085,28.28208181,40.18564555
,,,,7.085623975,22.61947989,28.25387504,42.0410211
,,,,6.152202799,21.68484878,28.20791197,43.95503645
,,,,5.234695897,20.69636189,28.14708056,45.92186165
,,,,4.331145615,19.66106665,28.07438074,47.933407
,,,,3.440564726,18.58733958,27.9929569,49.97913879
,,,,2.562933012,17.48499963,27.9061147,52.04595265
,,,,1.699186116,16.36536258,27.81731975,54.11813156
,,,,0.851187842,15.24121929,27.73017596,56.17741691
,,,,0.021677329,14.12672211,27.64838187,58.2032187
,,,,0,12.9355175,27.36066001,59.70382249
,,,,0,11.8036898,27.0911478,61.1051624
,,,,0,10.74861386,26.84973715,62.40164899
,,,,0,9.784004611,26.64002065,63.57597474
,,,,0,8.9224824,26.46514519,64.61237241
,,,,0,8.175091493,26.32768222,65.49722628
,,,,0,7.566306243,26.07870762,66.35498614
,,,,0,7.082556028,25.89919483,67.01824914
,,,,0,6.734637894,25.72963061,67.53573149
,,,,0,6.52434387,25.56974243,67.9059137
,,,,0,6.324072717,25.45359301,68.22233428
,,,,0,6.053395153,25.0521222,68.89448265
,,,,0,5.821326457,24.80468037,69.37399317
,,,,0,5.589718369,24.55772966,69.85255197
,,,,0,5.35856952,24.31126861,70.33016187
,,,,0,5.127878544,24.06529577,70.80682569
,,,,0,4.897644083,23.81980968,71.28254624
,,,,0,4.667864783,23.5748089,71.75732631
,,,,0,4.438539295,23.330292,72.2311687
,,,,0,4.209666276,23.08625755,72.70407618
,,,,0,3.981244389,22.8427041,73.17605151
,,,,0,3.753272301,22.59963026,73.64709744
,,,,0,3.525748685,22.35703459,74.11721673
,,,,0,3.298672218,22.11491569,74.58641209
,,,,0,3.072041584,21.87327216,75.05468625
,,,,0,2.845855471,21.6321026,75.52204193
,,,,0,2.620112573,21.39140561,75.98848181
,,,,0,2.394811587,21.15117981,76.4540086
,,,,0,2.169951219,20.91142382,76.91862496
,,,,0,1.945530175,20.67213625,77.38233357
,,,,0,1.721547171,20.43331574,77.84513709
,,,,0,1.498000925,20.19496092,78.30703815
,,,,0,1.27489016,19.95707043,78.76803941
,,,,0,1.052213606,19.71964292,79.22814348
,,,,0,0.829969996,19.48267702,79.68735298
,,,,0,0.608158068,19.24617141,80.14567052
,,,,0,0.386776566,19.01012474,80.6030987
,,,,0,0.165824239,18.77453567,81.0596401
,,,,0,0,18.52926733,81.47073267
,,,,0,0,18.25456188,81.74543812
